operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                     52.690            3.857        47.952          62.523    
OperationGetManyVertices                                0.237            0.115         0.120           0.453    
OperationShutdownGraph                                441.805           64.842       371.723         588.002    
OperationDoGC                                        3515.932            6.829      3506.676        3528.635    
OperationGetManyVertexProperties                        8.361            6.296         2.304          21.378    
OperationGetManyEdges                                   1.348            2.020         0.273           6.664    
OperationGetManyEdgeProperties                         53.901           20.667        24.422          87.439    
OperationGetFirstNeighbor                               0.027            0.147         0.005           8.905    
OperationGetRandomNeighbor                              0.013            0.035         0.002           2.563    
OperationGetAllNeighbors                                0.015            0.106         0.002           8.855    
OperationGetKFirstNeighbors                             0.009            0.043         0.002           3.398    
OperationGetKRandomNeighbors                            0.019            0.039         0.003           1.138    
OperationGetKHopNeighbors                               0.038            0.143         0.003           8.750    
OperationGetShortestPath                                1.302            4.170         0.002          53.532    
OperationGlobalClusteringCoefficient                  168.933            8.532       152.718         178.009    
OperationNetworkAverageClusteringCoefficient           33.747           16.257        13.645          66.716    
