operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;5.268991276923077E7;3857306.2557085524;4.7951516E7;6.2522697E7;
OperationGetManyVertices;236687.0;114728.6636590874;119758.0;453477.0;
OperationShutdownGraph;4.418049176923077E8;6.4842127706310675E7;3.7172271E8;5.8800185E8;
OperationDoGC;3.5159319856153846E9;6829394.952073377;3.506676343E9;3.528634736E9;
OperationGetManyVertexProperties;8361030.75;6296061.550638616;2304380.0;2.1378137E7;
OperationGetManyEdges;1347700.875;2019888.2731735706;273332.0;6664145.0;
OperationGetManyEdgeProperties;5.3901153125E7;2.0667194266518597E7;2.4422371E7;8.7439139E7;
OperationGetFirstNeighbor;26693.237;147486.12001730595;4942.0;8905483.0;
OperationGetRandomNeighbor;13398.02775;34881.16019950435;1835.0;2562760.0;
OperationGetAllNeighbors;14592.582625;105850.43401083343;2162.0;8855369.0;
OperationGetKFirstNeighbors;9459.126;42582.613034076116;1748.0;3397709.0;
OperationGetKRandomNeighbors;19176.50725;39338.640062814644;3037.0;1138438.0;
OperationGetKHopNeighbors;38334.982875;143464.7091184032;2648.0;8750288.0;
OperationGetShortestPath;1301810.498;4169672.507645199;2058.0;5.3532068E7;
OperationGlobalClusteringCoefficient;1.689326465E8;8531987.397614652;1.52718319E8;1.78008926E8;
OperationNetworkAverageClusteringCoefficient;3.37468825E7;1.6257417622768207E7;1.3645234E7;6.6715796E7;
