operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                     51.889            4.115        44.637          58.339    
OperationGetManyVertices                                0.562            0.000         0.562           0.562    
OperationShutdownGraph                                505.118           22.135       481.293         549.317    
OperationDoGC                                        3521.511            5.686      3513.979        3531.301    
OperationGetManyVertexProperties                       12.557            0.000        12.557          12.557    
OperationGetManyEdges                                   0.746            0.000         0.746           0.746    
OperationGetManyEdgeProperties                         16.007            0.000        16.007          16.007    
OperationGetFirstNeighbor                               0.028            0.019         0.005           0.195    
OperationGetRandomNeighbor                              0.034            0.036         0.003           0.937    
OperationGetAllNeighbors                                0.028            0.023         0.003           0.325    
OperationGetKFirstNeighbors                             0.028            0.023         0.005           0.308    
OperationGetKRandomNeighbors                            0.034            0.058         0.003           1.503    
OperationGetKHopNeighbors                               0.037            0.072         0.005           1.056    
OperationGetShortestPath                                0.502            1.635         0.005          18.995    
OperationGlobalClusteringCoefficient                   53.366            0.000        53.366          53.366    
OperationNetworkAverageClusteringCoefficient           23.099            0.000        23.099          23.099    
