operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                     47.021            4.887        37.810          56.327    
OperationGetManyVertices                                0.289            0.068         0.221           0.356    
OperationShutdownGraph                                443.698           44.499       338.889         518.807    
OperationDoGC                                        3526.914            7.315      3519.182        3550.512    
OperationGetManyVertexProperties                       10.162            0.413         9.749          10.575    
OperationGetManyEdges                                   0.910            0.095         0.815           1.005    
OperationGetManyEdgeProperties                         31.609            1.658        29.951          33.267    
OperationGetFirstNeighbor                               0.031            0.041         0.005           1.261    
OperationGetRandomNeighbor                              0.034            0.040         0.003           0.568    
OperationGetAllNeighbors                                0.028            0.035         0.002           0.640    
OperationGetKFirstNeighbors                             0.037            0.038         0.006           0.586    
OperationGetKRandomNeighbors                            0.032            0.043         0.003           0.753    
OperationGetKHopNeighbors                               0.049            0.162         0.003           4.101    
OperationGetShortestPath                                0.768            2.361         0.002          20.610    
OperationGlobalClusteringCoefficient                   86.205            0.297        85.908          86.502    
OperationNetworkAverageClusteringCoefficient           38.897            0.113        38.784          39.011    
