operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;4.835413923076923E7;4169355.421375461;4.3343676E7;5.645412E7;
OperationGetManyVertices;476872.0;0.0;476872.0;476872.0;
OperationShutdownGraph;4.586055140769231E8;7.50725680197507E7;4.12580848E8;7.08402991E8;
OperationDoGC;3.522382638E9;3313159.5510284323;3.517617632E9;3.529440945E9;
OperationGetManyVertexProperties;1.2817593E7;0.0;1.2817593E7;1.2817593E7;
OperationGetManyEdges;794647.0;0.0;794647.0;794647.0;
OperationGetManyEdgeProperties;1.5951394E7;0.0;1.5951394E7;1.5951394E7;
OperationGetFirstNeighbor;22899.536;15877.285677870257;4889.0;144710.0;
OperationGetRandomNeighbor;26513.877;20193.56502423163;2607.0;277240.0;
OperationGetAllNeighbors;21588.598;17637.50790810299;2509.0;324727.0;
OperationGetKFirstNeighbors;24730.689;20274.10733764323;5120.0;180190.0;
OperationGetKRandomNeighbors;28742.602;25353.279440056598;2953.0;348856.0;
OperationGetKHopNeighbors;43092.195;91483.10201444286;4344.0;1476413.0;
OperationGetShortestPath;565453.124;1729202.6982487205;3757.0;1.18723E7;
OperationGlobalClusteringCoefficient;5.2044795E7;0.0;5.2044795E7;5.2044795E7;
OperationNetworkAverageClusteringCoefficient;2.3239122E7;0.0;2.3239122E7;2.3239122E7;
