operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;4.645978715384615E7;3855821.0541697927;4.3222983E7;5.7400156E7;
OperationGetManyVertices;324643.0;56149.918170020515;264944.0;416898.0;
OperationShutdownGraph;4.141661076923077E8;5.2907989690223254E7;3.34352984E8;5.1043099E8;
OperationDoGC;3.509862564769231E9;4728221.204818902;3.503640465E9;3.519440436E9;
OperationGetManyVertexProperties;1.164375425E7;624470.0841707211;1.0651462E7;1.2340055E7;
OperationGetManyEdges;926418.0;166859.34899189798;675140.0;1142594.0;
OperationGetManyEdgeProperties;4.787668975E7;6320721.083987426;3.9441888E7;5.6934903E7;
OperationGetFirstNeighbor;23536.256;57343.75178475395;4684.0;2558513.0;
OperationGetRandomNeighbor;20633.115;48385.853419850646;1870.0;1973493.0;
OperationGetAllNeighbors;16522.8585;27158.960708704904;1959.0;751521.0;
OperationGetKFirstNeighbors;26535.73575;54302.23387031556;2033.0;2673622.0;
OperationGetKRandomNeighbors;22846.3565;46582.54688352611;2820.0;2035529.0;
OperationGetKHopNeighbors;38671.36475;103842.3319473164;2399.0;2277395.0;
OperationGetShortestPath;1399076.098;4156791.8909865655;2219.0;3.389035E7;
OperationGlobalClusteringCoefficient;1.0179801425E8;9610141.177833507;9.1785038E7;1.11553592E8;
OperationNetworkAverageClusteringCoefficient;4.49459595E7;4253421.121858644;3.7787969E7;4.8757892E7;
