operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;5.376989023076923E7;7572914.101707186;4.6846001E7;7.0691335E7;
OperationGetManyVertices;1106378.8125;3635618.2764154407;69813.0;2.04931E7;
OperationShutdownGraph;4.66914041E8;8.351077584257993E7;3.87009173E8;6.79768241E8;
OperationDoGC;3.5186408543846154E9;7090024.358753974;3.507903392E9;3.53105502E9;
OperationGetManyVertexProperties;3926605.6875;1.5968912912400573E7;166962.0;9.1717713E7;
OperationGetManyEdges;4717547.71875;1.665465340326826E7;157246.0;8.057064E7;
OperationGetManyEdgeProperties;8758006.5;7677891.666505119;1409758.0;4.5314016E7;
OperationGetFirstNeighbor;10212.6374375;49078.881996454016;1887.0;6994161.0;
OperationGetRandomNeighbor;16369.11090625;280114.82868453563;2301.0;3.6840621E7;
OperationGetAllNeighbors;13114.7754375;58725.10562261281;2102.0;7055426.0;
OperationGetKFirstNeighbors;10582.734875;33018.4113222883;1074.0;4307521.0;
OperationGetKRandomNeighbors;18435.365375;249307.69138660334;2652.0;2.4102268E7;
OperationGetKHopNeighbors;42943.3894375;175207.3228298478;2313.0;1.3754564E7;
OperationGetShortestPath;1269737.29;4170974.815374714;2333.0;1.29822343E8;
OperationGlobalClusteringCoefficient;3.2920835184375E8;6.190075064801469E7;1.02736111E8;4.28076228E8;
OperationNetworkAverageClusteringCoefficient;6.274874396875E7;3.9390953550077386E7;8905898.0;1.2756345E8;
