operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;5.081523223076923E7;5359941.572559094;3.9544957E7;5.9617217E7;
OperationGetManyVertices;386630.5;43810.5;342820.0;430441.0;
OperationShutdownGraph;5.445224630769231E8;9.870037688708802E7;4.7090889E8;8.23218543E8;
OperationDoGC;3.5252460745384617E9;4032503.7075995854;3.520328999E9;3.536729211E9;
OperationGetManyVertexProperties;1.34092065E7;347402.5;1.3061804E7;1.3756609E7;
OperationGetManyEdges;956052.0;45241.0;910811.0;1001293.0;
OperationGetManyEdgeProperties;4.24236455E7;4757749.5;3.7665896E7;4.7181395E7;
OperationGetFirstNeighbor;51682.2525;76980.52975923034;4811.0;1008464.0;
OperationGetRandomNeighbor;24732.416;39578.027939374944;2797.0;1076780.0;
OperationGetAllNeighbors;29974.845;41778.68734454179;2257.0;858932.0;
OperationGetKFirstNeighbors;28979.47;28645.721613656347;6329.0;318095.0;
OperationGetKRandomNeighbors;35710.1045;48614.506396420205;3318.0;906961.0;
OperationGetKHopNeighbors;45676.2345;117487.4868759754;2814.0;2795839.0;
OperationGetShortestPath;874844.752;2649062.6497499486;1833.0;2.4102851E7;
OperationGlobalClusteringCoefficient;7.46296565E7;4065673.5;7.0563983E7;7.869533E7;
OperationNetworkAverageClusteringCoefficient;3.18615325E7;456175.5;3.1405357E7;3.2317708E7;
