operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                     50.815            5.360        39.545          59.617    
OperationGetManyVertices                                0.387            0.044         0.343           0.430    
OperationShutdownGraph                                544.522           98.700       470.909         823.219    
OperationDoGC                                        3525.246            4.033      3520.329        3536.729    
OperationGetManyVertexProperties                       13.409            0.347        13.062          13.757    
OperationGetManyEdges                                   0.956            0.045         0.911           1.001    
OperationGetManyEdgeProperties                         42.424            4.758        37.666          47.181    
OperationGetFirstNeighbor                               0.052            0.077         0.005           1.008    
OperationGetRandomNeighbor                              0.025            0.040         0.003           1.077    
OperationGetAllNeighbors                                0.030            0.042         0.002           0.859    
OperationGetKFirstNeighbors                             0.029            0.029         0.006           0.318    
OperationGetKRandomNeighbors                            0.036            0.049         0.003           0.907    
OperationGetKHopNeighbors                               0.046            0.117         0.003           2.796    
OperationGetShortestPath                                0.875            2.649         0.002          24.103    
OperationGlobalClusteringCoefficient                   74.630            4.066        70.564          78.695    
OperationNetworkAverageClusteringCoefficient           31.862            0.456        31.405          32.318    
