operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                     53.770            7.573        46.846          70.691    
OperationGetManyVertices                                1.106            3.636         0.070          20.493    
OperationShutdownGraph                                466.914           83.511       387.009         679.768    
OperationDoGC                                        3518.641            7.090      3507.903        3531.055    
OperationGetManyVertexProperties                        3.927           15.969         0.167          91.718    
OperationGetManyEdges                                   4.718           16.655         0.157          80.571    
OperationGetManyEdgeProperties                          8.758            7.678         1.410          45.314    
OperationGetFirstNeighbor                               0.010            0.049         0.002           6.994    
OperationGetRandomNeighbor                              0.016            0.280         0.002          36.841    
OperationGetAllNeighbors                                0.013            0.059         0.002           7.055    
OperationGetKFirstNeighbors                             0.011            0.033         0.001           4.308    
OperationGetKRandomNeighbors                            0.018            0.249         0.003          24.102    
OperationGetKHopNeighbors                               0.043            0.175         0.002          13.755    
OperationGetShortestPath                                1.270            4.171         0.002         129.822    
OperationGlobalClusteringCoefficient                  329.208           61.901       102.736         428.076    
OperationNetworkAverageClusteringCoefficient           62.749           39.391         8.906         127.563    
