operation                                       bdb-mean (ms)   bdb-stdev (ms)  bdb-min (ms)    bdb-max (ms)    
OperationOpenGraph                                      1.604            0.292         1.008           2.067    
OperationGenerateGraph                                539.991            0.000       539.991         539.991    
OperationShutdownGraph                                 23.894           46.994         3.335         192.131    
OperationDoGC                                        3464.447            6.037      3450.450        3473.488    
OperationGetManyVertices                               13.452            0.000        13.452          13.452    
OperationGetManyVertexProperties                       17.280            0.000        17.280          17.280    
OperationGetManyEdges                                  16.824            0.000        16.824          16.824    
OperationGetManyEdgeProperties                         19.838            0.000        19.838          19.838    
OperationGetFirstNeighbor                               0.054            0.019         0.015           0.114    
OperationGetRandomNeighbor                              0.125            0.124         0.010           1.648    
OperationGetAllNeighbors                                0.183            0.255         0.010           4.041    
OperationGetKFirstNeighbors                             0.093            0.040         0.013           0.214    
OperationGetKRandomNeighbors                            0.203            0.230         0.011           2.791    
OperationGetKHopNeighbors                               0.891            1.712         0.011          25.029    
OperationGetShortestPath                               13.490           26.885         0.012         148.768    
OperationGlobalClusteringCoefficient                 4513.353            0.000      4513.353        4513.353    
OperationNetworkAverageClusteringCoefficient         1241.092            0.000      1241.092        1241.092    
