operation                                       bdb-mean (ms)   bdb-stdev (ms)  bdb-min (ms)    bdb-max (ms)    
OperationOpenGraph                                      1.632            0.108         1.157           1.850    
OperationGenerateGraph                                562.301            0.000       562.301         562.301    
OperationShutdownGraph                                 13.143           23.818         0.997         130.861    
OperationDoGC                                        3454.104            7.904      3441.137        3469.613    
OperationGetManyVertices                               13.182            0.000        13.182          13.182    
OperationGetManyVertexProperties                       16.405            0.000        16.405          16.405    
OperationGetManyEdges                                  16.571            0.000        16.571          16.571    
OperationGetManyEdgeProperties                         18.715            0.000        18.715          18.715    
OperationGetFirstNeighbor                               0.049            0.016         0.012           0.102    
OperationGetRandomNeighbor                              0.114            0.144         0.009           2.026    
OperationGetAllNeighbors                                0.154            0.169         0.009           1.389    
OperationGetKFirstNeighbors                             0.092            0.064         0.009           2.198    
OperationGetKRandomNeighbors                            0.174            0.225         0.009           3.605    
OperationGetKHopNeighbors                               8.060           22.248         0.009         156.638    
OperationGetShortestPath                               18.960           33.211         0.011         145.723    
OperationGlobalClusteringCoefficient                 4841.103            0.000      4841.103        4841.103    
OperationNetworkAverageClusteringCoefficient         1365.980            0.000      1365.980        1365.980    
