operation;bdb-mean;bdb-stdev;bdb-min;bdb-max;
OperationOpenGraph;1696877.2857142857;137123.03776193564;1587322.0;2011883.0;
OperationGenerateGraph;6.19183805E8;0.0;6.19183805E8;6.19183805E8;
OperationShutdownGraph;3.0912608214285713E7;5.078752805650482E7;5293095.0;2.03328927E8;
OperationDoGC;3.451381288642857E9;5657018.263724256;3.441033815E9;3.463220535E9;
OperationGetManyVertices;1.3825361E7;0.0;1.3825361E7;1.3825361E7;
OperationGetManyVertexProperties;1.7504233E7;0.0;1.7504233E7;1.7504233E7;
OperationGetManyEdges;1.7156295E7;0.0;1.7156295E7;1.7156295E7;
OperationGetManyEdgeProperties;1.8476854E7;0.0;1.8476854E7;1.8476854E7;
OperationGetFirstNeighbor;57341.919;19940.679153139172;12730.0;115060.0;
OperationGetRandomNeighbor;113563.638;102329.95203477313;10024.0;1357215.0;
OperationGetAllNeighbors;159764.293;189072.42102412804;9906.0;2580929.0;
OperationGetKFirstNeighbors;87406.108;33756.96456772047;14388.0;161524.0;
OperationGetKRandomNeighbors;191833.676;215446.65319120893;11492.0;2346753.0;
OperationGetKHopNeighbors;998028.506;2360629.47856541;11687.0;4.4557298E7;
OperationGetShortestPath;2.7412596652E7;4.1579949315885E7;12072.0;1.52254793E8;
OperationGlobalClusteringCoefficient;5.071444564E9;0.0;5.071444564E9;5.071444564E9;
OperationNetworkAverageClusteringCoefficient;1.625759944E9;0.0;1.625759944E9;1.625759944E9;
