operation                                       bdb-mean (ms)   bdb-stdev (ms)  bdb-min (ms)    bdb-max (ms)    
OperationOpenGraph                                      1.466            0.314         0.969           2.008    
OperationGenerateGraph                                666.151            0.000       666.151         666.151    
OperationShutdownGraph                                 26.722           45.201         6.170         182.920    
OperationDoGC                                        3448.617            5.385      3439.626        3463.204    
OperationGetManyVertices                               13.927            0.000        13.927          13.927    
OperationGetManyVertexProperties                       16.769            0.000        16.769          16.769    
OperationGetManyEdges                                  16.000            0.000        16.000          16.000    
OperationGetManyEdgeProperties                         18.474            0.000        18.474          18.474    
OperationGetFirstNeighbor                               0.058            0.019         0.012           0.141    
OperationGetRandomNeighbor                              0.118            0.094         0.010           1.380    
OperationGetAllNeighbors                                0.177            0.181         0.010           2.451    
OperationGetKFirstNeighbors                             0.087            0.034         0.013           0.204    
OperationGetKRandomNeighbors                            0.210            0.230         0.011           2.058    
OperationGetKHopNeighbors                               1.038            1.309         0.012          12.028    
OperationGetShortestPath                               42.917           50.164         0.012         155.257    
OperationGlobalClusteringCoefficient                 5811.048            0.000      5811.048        5811.048    
OperationNetworkAverageClusteringCoefficient         2000.567            0.000      2000.567        2000.567    
