operation;bdb-mean;bdb-stdev;bdb-min;bdb-max;
OperationOpenGraph;1587662.2857142857;256689.97784443304;1031210.0;2033692.0;
OperationGenerateGraph;6.42189833E8;0.0;6.42189833E8;6.42189833E8;
OperationShutdownGraph;2.9750693E7;4.924574883275995E7;6261761.0;1.82802069E8;
OperationDoGC;3.460759009428571E9;7097814.68574525;3.445686875E9;3.470379056E9;
OperationGetManyVertices;1.2843176E7;0.0;1.2843176E7;1.2843176E7;
OperationGetManyVertexProperties;1.6675834E7;0.0;1.6675834E7;1.6675834E7;
OperationGetManyEdges;1.5860386E7;0.0;1.5860386E7;1.5860386E7;
OperationGetManyEdgeProperties;1.8522276E7;0.0;1.8522276E7;1.8522276E7;
OperationGetFirstNeighbor;50940.294;16848.67920834045;13892.0;125213.0;
OperationGetRandomNeighbor;120644.522;111049.27299672659;9862.0;1813036.0;
OperationGetAllNeighbors;169780.848;194082.81740599513;10154.0;2632977.0;
OperationGetKFirstNeighbors;83412.323;32522.71485805992;13066.0;155339.0;
OperationGetKRandomNeighbors;192196.037;249718.0713962881;11781.0;2404325.0;
OperationGetKHopNeighbors;1037411.794;1793031.8092076168;11608.0;2.6186821E7;
OperationGetShortestPath;3.1548067612E7;4.493617377193186E7;12457.0;1.53057789E8;
OperationGlobalClusteringCoefficient;5.316171685E9;0.0;5.316171685E9;5.316171685E9;
OperationNetworkAverageClusteringCoefficient;1.733600119E9;0.0;1.733600119E9;1.733600119E9;
