operation                                       bdb-mean (ms)   bdb-stdev (ms)  bdb-min (ms)    bdb-max (ms)    
OperationOpenGraph                                      1.586            0.225         1.009           2.007    
OperationGenerateGraph                                578.856            0.000       578.856         578.856    
OperationShutdownGraph                                 23.898           40.575         3.972         169.257    
OperationDoGC                                        3457.194            4.487      3450.326        3466.136    
OperationGetManyVertices                               13.652            0.000        13.652          13.652    
OperationGetManyVertexProperties                       17.886            0.000        17.886          17.886    
OperationGetManyEdges                                  16.845            0.000        16.845          16.845    
OperationGetManyEdgeProperties                         19.853            0.000        19.853          19.853    
OperationGetFirstNeighbor                               0.046            0.017         0.012           0.129    
OperationGetRandomNeighbor                              0.112            0.105         0.010           1.359    
OperationGetAllNeighbors                                0.185            0.234         0.011           4.576    
OperationGetKFirstNeighbors                             0.078            0.034         0.013           0.156    
OperationGetKRandomNeighbors                            0.182            0.233         0.011           3.084    
OperationGetKHopNeighbors                               0.966            1.881         0.012          27.421    
OperationGetShortestPath                               19.832           34.393         0.013         150.367    
OperationGlobalClusteringCoefficient                 4628.373            0.000      4628.373        4628.373    
OperationNetworkAverageClusteringCoefficient         1319.569            0.000      1319.569        1319.569    
