operation;bdb-mean;bdb-stdev;bdb-min;bdb-max;
OperationOpenGraph;1513299.0;297484.2477623215;990616.0;1993402.0;
OperationGenerateGraph;7.15698179E8;0.0;7.15698179E8;7.15698179E8;
OperationShutdownGraph;2.2496486214285713E7;4.142843534484065E7;3968735.0;1.70443176E8;
OperationDoGC;3.460098460428571E9;8641812.02768623;3.448576165E9;3.477080869E9;
OperationGetManyVertices;1.4155363E7;0.0;1.4155363E7;1.4155363E7;
OperationGetManyVertexProperties;1.7321239E7;0.0;1.7321239E7;1.7321239E7;
OperationGetManyEdges;1.6829658E7;0.0;1.6829658E7;1.6829658E7;
OperationGetManyEdgeProperties;1.8929051E7;0.0;1.8929051E7;1.8929051E7;
OperationGetFirstNeighbor;59320.9;21040.569355034062;12344.0;111629.0;
OperationGetRandomNeighbor;117209.235;88340.7474387204;10036.0;830345.0;
OperationGetAllNeighbors;178246.708;172420.4429914468;10105.0;2497234.0;
OperationGetKFirstNeighbors;86804.68;33333.47506257939;13510.0;147022.0;
OperationGetKRandomNeighbors;195225.693;197391.0540221282;11512.0;2551039.0;
OperationGetKHopNeighbors;1015626.89;1425963.571149439;12189.0;2.5549452E7;
OperationGetShortestPath;4.1498100366E7;5.200411912987976E7;12841.0;1.62642724E8;
OperationGlobalClusteringCoefficient;6.3492199E9;0.0;6.3492199E9;6.3492199E9;
OperationNetworkAverageClusteringCoefficient;2.222669977E9;0.0;2.222669977E9;2.222669977E9;
