operation                                       bdb-mean (ms)   bdb-stdev (ms)  bdb-min (ms)    bdb-max (ms)    
OperationOpenGraph                                      1.657            0.131         1.537           2.051    
OperationGenerateGraph                                491.468            0.000       491.468         491.468    
OperationShutdownGraph                                 20.605           43.237         4.777         176.121    
OperationDoGC                                        3454.768            4.840      3443.702        3459.743    
OperationGetManyVertices                               13.150            0.000        13.150          13.150    
OperationGetManyVertexProperties                       15.964            0.000        15.964          15.964    
OperationGetManyEdges                                  17.076            0.000        17.076          17.076    
OperationGetManyEdgeProperties                         19.983            0.000        19.983          19.983    
OperationGetFirstNeighbor                               0.053            0.024         0.012           0.124    
OperationGetRandomNeighbor                              0.114            0.131         0.010           1.336    
OperationGetAllNeighbors                                0.175            0.282         0.010           3.995    
OperationGetKFirstNeighbors                             0.070            0.031         0.013           0.146    
OperationGetKRandomNeighbors                            0.147            0.175         0.012           2.145    
OperationGetKHopNeighbors                               0.855            2.817         0.012          44.346    
OperationGetShortestPath                                9.800           21.730         0.012         138.712    
OperationGlobalClusteringCoefficient                 3969.233            0.000      3969.233        3969.233    
OperationNetworkAverageClusteringCoefficient          867.782            0.000       867.782         867.782    
