operation;bdb-mean;bdb-stdev;bdb-min;bdb-max;
OperationOpenGraph;1639516.9285714286;131288.05796005772;1559488.0;2057860.0;
OperationGenerateGraph;5.08113237E8;0.0;5.08113237E8;5.08113237E8;
OperationShutdownGraph;2.4537396214285713E7;5.150247201896736E7;4358228.0;2.09330419E8;
OperationDoGC;3.455824507357143E9;3968249.5831494704;3.451034503E9;3.463565029E9;
OperationGetManyVertices;1.3621186E7;0.0;1.3621186E7;1.3621186E7;
OperationGetManyVertexProperties;1.7022907E7;0.0;1.7022907E7;1.7022907E7;
OperationGetManyEdges;1.6488693E7;0.0;1.6488693E7;1.6488693E7;
OperationGetManyEdgeProperties;1.9476888E7;0.0;1.9476888E7;1.9476888E7;
OperationGetFirstNeighbor;50945.495;20660.43019251959;12303.0;128423.0;
OperationGetRandomNeighbor;117063.678;122954.75837743054;9742.0;1907809.0;
OperationGetAllNeighbors;178543.528;285022.2595675774;9637.0;3987928.0;
OperationGetKFirstNeighbors;73540.124;32445.283869841925;12685.0;193612.0;
OperationGetKRandomNeighbors;161460.887;163400.55038098333;11776.0;1969685.0;
OperationGetKHopNeighbors;853145.501;2475474.9203726803;11641.0;4.5396083E7;
OperationGetShortestPath;1.2232492452E7;2.6984143368464068E7;12531.0;1.35865753E8;
OperationGlobalClusteringCoefficient;4.180867177E9;0.0;4.180867177E9;4.180867177E9;
OperationNetworkAverageClusteringCoefficient;1.034467136E9;0.0;1.034467136E9;1.034467136E9;
