operation;bdb-mean;bdb-stdev;bdb-min;bdb-max;
OperationOpenGraph;1580478.0;191757.28194717725;1063020.0;1906502.0;
OperationGenerateGraph;6.480159E8;0.0;6.480159E8;6.480159E8;
OperationShutdownGraph;1.5253618961538462E7;3.2143510781716276E7;902811.0;1.74585057E8;
OperationDoGC;3.467145803076923E9;5588213.609982435;3.45753242E9;3.481333891E9;
OperationGetManyVertices;1.3336095E7;0.0;1.3336095E7;1.3336095E7;
OperationGetManyVertexProperties;1.6785353E7;0.0;1.6785353E7;1.6785353E7;
OperationGetManyEdges;1.6346764E7;0.0;1.6346764E7;1.6346764E7;
OperationGetManyEdgeProperties;1.8697544E7;0.0;1.8697544E7;1.8697544E7;
OperationGetFirstNeighbor;45146.539;14216.021717994066;11954.0;112371.0;
OperationGetRandomNeighbor;114584.334;240145.7449091081;8431.0;7015204.0;
OperationGetAllNeighbors;163513.071;211908.1620254773;9158.0;3930386.0;
OperationGetKFirstNeighbors;95105.5868;58607.375014809084;8869.0;954967.0;
OperationGetKRandomNeighbors;179722.872;218225.46813807345;9301.0;3190130.0;
OperationGetKHopNeighbors;1.02830217984E7;2.487461491198775E7;9264.0;1.46119788E8;
OperationGetShortestPath;3.0887140946E7;4.4015162041699566E7;11192.0;1.52330671E8;
OperationGlobalClusteringCoefficient;5.363917632E9;0.0;5.363917632E9;5.363917632E9;
OperationNetworkAverageClusteringCoefficient;1.713223757E9;0.0;1.713223757E9;1.713223757E9;
