operation;bdb-mean;bdb-stdev;bdb-min;bdb-max;
OperationOpenGraph;1493063.076923077;272142.6737410308;1001459.0;1910442.0;
OperationGenerateGraph;6.24485754E8;0.0;6.24485754E8;6.24485754E8;
OperationShutdownGraph;1.9395239884615384E7;5.667555120275704E7;893877.0;3.0227971E8;
OperationDoGC;3.4538618989615383E9;9095958.988303527;3.439642702E9;3.470116962E9;
OperationGetManyVertices;1.2987695E7;0.0;1.2987695E7;1.2987695E7;
OperationGetManyVertexProperties;1.6381012E7;0.0;1.6381012E7;1.6381012E7;
OperationGetManyEdges;1.5801873E7;0.0;1.5801873E7;1.5801873E7;
OperationGetManyEdgeProperties;1.7950601E7;0.0;1.7950601E7;1.7950601E7;
OperationGetFirstNeighbor;51511.083;19778.171937065137;11994.0;115815.0;
OperationGetRandomNeighbor;119181.426;158627.78394630153;9219.0;3115236.0;
OperationGetAllNeighbors;154029.232;224797.45329534792;9189.0;4237713.0;
OperationGetKFirstNeighbors;106066.8308;90587.3960843989;9088.0;1358771.0;
OperationGetKRandomNeighbors;189238.1082;247992.91639795285;9514.0;3519512.0;
OperationGetKHopNeighbors;9256627.1726;2.4587157462035324E7;9154.0;1.40756454E8;
OperationGetShortestPath;2.9580449704E7;4.30093831980514E7;2286.0;1.44382456E8;
OperationGlobalClusteringCoefficient;4.971688233E9;0.0;4.971688233E9;4.971688233E9;
OperationNetworkAverageClusteringCoefficient;1.627109099E9;0.0;1.627109099E9;1.627109099E9;
