operation;bdb-mean;bdb-stdev;bdb-min;bdb-max;
OperationOpenGraph;1593777.8846153845;185860.08977191726;1023773.0;1860478.0;
OperationGenerateGraph;5.09189545E8;0.0;5.09189545E8;5.09189545E8;
OperationShutdownGraph;1.7901756769230768E7;3.916782967425995E7;821383.0;2.09441522E8;
OperationDoGC;3.464726092E9;5429557.885598471;3.456546574E9;3.474905387E9;
OperationGetManyVertices;1.7778205E7;0.0;1.7778205E7;1.7778205E7;
OperationGetManyVertexProperties;1.6645913E7;0.0;1.6645913E7;1.6645913E7;
OperationGetManyEdges;1.6970865E7;0.0;1.6970865E7;1.6970865E7;
OperationGetManyEdgeProperties;1.9647286E7;0.0;1.9647286E7;1.9647286E7;
OperationGetFirstNeighbor;42760.057;16454.51868769644;11609.0;106144.0;
OperationGetRandomNeighbor;103106.705;128664.86719156078;9820.0;1975268.0;
OperationGetAllNeighbors;154484.537;219028.02173971836;8848.0;2663879.0;
OperationGetKFirstNeighbors;80296.2804;51954.648465273836;8548.0;262865.0;
OperationGetKRandomNeighbors;188632.5504;948685.3979334933;9033.0;6.5266413E7;
OperationGetKHopNeighbors;5606858.763;1.808655263534851E7;9019.0;1.49807873E8;
OperationGetShortestPath;1.3179837944E7;2.6098955559053708E7;3049.0;1.37906308E8;
OperationGlobalClusteringCoefficient;4.266521865E9;0.0;4.266521865E9;4.266521865E9;
OperationNetworkAverageClusteringCoefficient;1.059014358E9;0.0;1.059014358E9;1.059014358E9;
