operation;bdb-mean;bdb-stdev;bdb-min;bdb-max;
OperationOpenGraph;1466057.9285714286;314147.7566629309;969414.0;2007993.0;
OperationGenerateGraph;6.66151203E8;0.0;6.66151203E8;6.66151203E8;
OperationShutdownGraph;2.67217095E7;4.5201140731045015E7;6170238.0;1.82920113E8;
OperationDoGC;3.448616538428571E9;5384925.704766762;3.439626266E9;3.463203601E9;
OperationGetManyVertices;1.3927198E7;0.0;1.3927198E7;1.3927198E7;
OperationGetManyVertexProperties;1.6768779E7;0.0;1.6768779E7;1.6768779E7;
OperationGetManyEdges;1.5999898E7;0.0;1.5999898E7;1.5999898E7;
OperationGetManyEdgeProperties;1.8473935E7;0.0;1.8473935E7;1.8473935E7;
OperationGetFirstNeighbor;57878.356;19213.36251907156;12417.0;140533.0;
OperationGetRandomNeighbor;117519.312;93760.84157948161;9860.0;1379621.0;
OperationGetAllNeighbors;176645.088;181403.17592453636;9849.0;2450963.0;
OperationGetKFirstNeighbors;86918.792;34061.34670577097;12834.0;203677.0;
OperationGetKRandomNeighbors;210425.279;229892.90961509696;11455.0;2058255.0;
OperationGetKHopNeighbors;1038097.801;1308615.194924316;11985.0;1.2027891E7;
OperationGetShortestPath;4.291682993E7;5.016431018166758E7;12328.0;1.55257351E8;
OperationGlobalClusteringCoefficient;5.81104844E9;0.0;5.81104844E9;5.81104844E9;
OperationNetworkAverageClusteringCoefficient;2.000566664E9;0.0;2.000566664E9;2.000566664E9;
