operation                                       bdb-mean (ms)   bdb-stdev (ms)  bdb-min (ms)    bdb-max (ms)    
OperationOpenGraph                                      1.449            0.267         1.014           1.858    
OperationGenerateGraph                                592.519            0.000       592.519         592.519    
OperationShutdownGraph                                 15.810           30.549         0.821         166.366    
OperationDoGC                                        3458.387            7.749      3446.024        3475.463    
OperationGetManyVertices                               16.959            0.000        16.959          16.959    
OperationGetManyVertexProperties                       16.428            0.000        16.428          16.428    
OperationGetManyEdges                                  15.978            0.000        15.978          15.978    
OperationGetManyEdgeProperties                         18.259            0.000        18.259          18.259    
OperationGetFirstNeighbor                               0.048            0.016         0.012           0.097    
OperationGetRandomNeighbor                              0.117            0.129         0.009           2.178    
OperationGetAllNeighbors                                0.213            0.312         0.012           5.385    
OperationGetKFirstNeighbors                             0.082            0.057         0.009           0.960    
OperationGetKRandomNeighbors                            0.174            0.212         0.010           2.823    
OperationGetKHopNeighbors                               8.810           23.705         0.009         146.388    
OperationGetShortestPath                               26.498           40.245         0.011         149.453    
OperationGlobalClusteringCoefficient                 5070.249            0.000      5070.249        5070.249    
OperationNetworkAverageClusteringCoefficient         1498.556            0.000      1498.556        1498.556    
