operation;bdb-mean;bdb-stdev;bdb-min;bdb-max;
OperationOpenGraph;1639631.1153846155;113622.24805174749;1207395.0;1932116.0;
OperationGenerateGraph;6.60893501E8;0.0;6.60893501E8;6.60893501E8;
OperationShutdownGraph;1.8420669807692308E7;3.648328711400876E7;862486.0;1.89213699E8;
OperationDoGC;3.4536659026923075E9;7925528.084400399;3.443166843E9;3.47864594E9;
OperationGetManyVertices;1.3451654E7;0.0;1.3451654E7;1.3451654E7;
OperationGetManyVertexProperties;1.6875834E7;0.0;1.6875834E7;1.6875834E7;
OperationGetManyEdges;1.6485492E7;0.0;1.6485492E7;1.6485492E7;
OperationGetManyEdgeProperties;1.9933533E7;0.0;1.9933533E7;1.9933533E7;
OperationGetFirstNeighbor;47572.464;15097.626483414673;12328.0;123849.0;
OperationGetRandomNeighbor;109278.669;104916.5319867914;9081.0;1649979.0;
OperationGetAllNeighbors;182834.177;243207.09862071805;9010.0;4088575.0;
OperationGetKFirstNeighbors;88521.677;56175.18557701316;8897.0;853928.0;
OperationGetKRandomNeighbors;194807.8174;251522.63888381267;8620.0;3660469.0;
OperationGetKHopNeighbors;1.11902806094E7;2.7097393660254233E7;8962.0;1.48752986E8;
OperationGetShortestPath;3.6209360112E7;4.773620762043102E7;11287.0;1.92910056E8;
OperationGlobalClusteringCoefficient;5.670686987E9;0.0;5.670686987E9;5.670686987E9;
OperationNetworkAverageClusteringCoefficient;1.899612484E9;0.0;1.899612484E9;1.899612484E9;
