operation;bdb-mean;bdb-stdev;bdb-min;bdb-max;
OperationOpenGraph;1642547.6153846155;321826.79628538335;1008166.0;3122652.0;
OperationGenerateGraph;7.22914786E8;0.0;7.22914786E8;7.22914786E8;
OperationShutdownGraph;1.819316446153846E7;3.700196586207605E7;865806.0;1.6312647E8;
OperationDoGC;3.4633998195E9;5724916.804019448;3.451796775E9;3.474102777E9;
OperationGetManyVertices;1.3616855E7;0.0;1.3616855E7;1.3616855E7;
OperationGetManyVertexProperties;1.6479401E7;0.0;1.6479401E7;1.6479401E7;
OperationGetManyEdges;1.6902103E7;0.0;1.6902103E7;1.6902103E7;
OperationGetManyEdgeProperties;1.8762297E7;0.0;1.8762297E7;1.8762297E7;
OperationGetFirstNeighbor;46017.729;13205.472717307732;11923.0;115788.0;
OperationGetRandomNeighbor;101335.8;93593.86654098667;9050.0;1599905.0;
OperationGetAllNeighbors;155257.5;158849.08946325755;9104.0;1489367.0;
OperationGetKFirstNeighbors;95091.3634;66462.01841620616;8410.0;1192585.0;
OperationGetKRandomNeighbors;204620.1186;269426.3651959247;8988.0;5758200.0;
OperationGetKHopNeighbors;1.16469402232E7;2.6973613699546564E7;9731.0;1.47994719E8;
OperationGetShortestPath;3.8488430602E7;4.884129789424324E7;11288.0;1.55922676E8;
OperationGlobalClusteringCoefficient;5.79475864E9;0.0;5.79475864E9;5.79475864E9;
OperationNetworkAverageClusteringCoefficient;1.991736206E9;0.0;1.991736206E9;1.991736206E9;
