operation                                       bdb-mean (ms)   bdb-stdev (ms)  bdb-min (ms)    bdb-max (ms)    
OperationOpenGraph                                      1.688            0.113         1.553           2.039    
OperationGenerateGraph                                682.798            0.000       682.798         682.798    
OperationShutdownGraph                                 15.702           33.000         0.931         178.887    
OperationDoGC                                        3453.424            6.393      3444.320        3471.426    
OperationGetManyVertices                               13.340            0.000        13.340          13.340    
OperationGetManyVertexProperties                       16.667            0.000        16.667          16.667    
OperationGetManyEdges                                  22.855            0.000        22.855          22.855    
OperationGetManyEdgeProperties                         18.382            0.000        18.382          18.382    
OperationGetFirstNeighbor                               0.050            0.014         0.012           0.120    
OperationGetRandomNeighbor                              0.109            0.102         0.008           1.518    
OperationGetAllNeighbors                                0.160            0.219         0.009           3.936    
OperationGetKFirstNeighbors                             0.098            0.066         0.009           1.042    
OperationGetKRandomNeighbors                            0.196            0.240         0.009           2.833    
OperationGetKHopNeighbors                              12.321           27.912         0.009         143.891    
OperationGetShortestPath                               43.547           51.305         0.011         149.278    
OperationGlobalClusteringCoefficient                 5905.774            0.000      5905.774        5905.774    
OperationNetworkAverageClusteringCoefficient         2082.258            0.000      2082.258        2082.258    
