operation;bdb-mean;bdb-stdev;bdb-min;bdb-max;
OperationOpenGraph;1449368.423076923;266604.2269842312;1014367.0;1858261.0;
OperationGenerateGraph;5.92519131E8;0.0;5.92519131E8;5.92519131E8;
OperationShutdownGraph;1.5809995307692308E7;3.054853553374203E7;821145.0;1.66366024E8;
OperationDoGC;3.4583874996923075E9;7749128.672293853;3.446023874E9;3.475463212E9;
OperationGetManyVertices;1.6958782E7;0.0;1.6958782E7;1.6958782E7;
OperationGetManyVertexProperties;1.6427861E7;0.0;1.6427861E7;1.6427861E7;
OperationGetManyEdges;1.5978291E7;0.0;1.5978291E7;1.5978291E7;
OperationGetManyEdgeProperties;1.8258631E7;0.0;1.8258631E7;1.8258631E7;
OperationGetFirstNeighbor;47862.287;15621.788871337083;11560.0;97196.0;
OperationGetRandomNeighbor;116583.729;128770.3469610359;9152.0;2178270.0;
OperationGetAllNeighbors;213491.936;311612.3912472285;11586.0;5384853.0;
OperationGetKFirstNeighbors;81669.4344;56591.83029060727;8905.0;959878.0;
OperationGetKRandomNeighbors;173853.3594;212134.65410979357;9511.0;2823116.0;
OperationGetKHopNeighbors;8810342.7482;2.3704778434808888E7;9282.0;1.46388029E8;
OperationGetShortestPath;2.6498229994E7;4.024547259697227E7;11189.0;1.49453359E8;
OperationGlobalClusteringCoefficient;5.070248803E9;0.0;5.070248803E9;5.070248803E9;
OperationNetworkAverageClusteringCoefficient;1.49855574E9;0.0;1.49855574E9;1.49855574E9;
