operation                                       bdb-mean (ms)   bdb-stdev (ms)  bdb-min (ms)    bdb-max (ms)    
OperationOpenGraph                                      1.640            0.131         1.559           2.058    
OperationGenerateGraph                                508.113            0.000       508.113         508.113    
OperationShutdownGraph                                 24.537           51.502         4.358         209.330    
OperationDoGC                                        3455.825            3.968      3451.035        3463.565    
OperationGetManyVertices                               13.621            0.000        13.621          13.621    
OperationGetManyVertexProperties                       17.023            0.000        17.023          17.023    
OperationGetManyEdges                                  16.489            0.000        16.489          16.489    
OperationGetManyEdgeProperties                         19.477            0.000        19.477          19.477    
OperationGetFirstNeighbor                               0.051            0.021         0.012           0.128    
OperationGetRandomNeighbor                              0.117            0.123         0.010           1.908    
OperationGetAllNeighbors                                0.179            0.285         0.010           3.988    
OperationGetKFirstNeighbors                             0.074            0.032         0.013           0.194    
OperationGetKRandomNeighbors                            0.161            0.163         0.012           1.970    
OperationGetKHopNeighbors                               0.853            2.475         0.012          45.396    
OperationGetShortestPath                               12.232           26.984         0.013         135.866    
OperationGlobalClusteringCoefficient                 4180.867            0.000      4180.867        4180.867    
OperationNetworkAverageClusteringCoefficient         1034.467            0.000      1034.467        1034.467    
