operation                                       bdb-mean (ms)   bdb-stdev (ms)  bdb-min (ms)    bdb-max (ms)    
OperationOpenGraph                                      1.439            0.269         1.024           1.708    
OperationGenerateGraph                                527.563            0.000       527.563         527.563    
OperationShutdownGraph                                 14.319           31.479         0.974         171.160    
OperationDoGC                                        3457.769            6.939      3443.431        3474.647    
OperationGetManyVertices                               13.134            0.000        13.134          13.134    
OperationGetManyVertexProperties                       20.686            0.000        20.686          20.686    
OperationGetManyEdges                                  17.221            0.000        17.221          17.221    
OperationGetManyEdgeProperties                         22.173            0.000        22.173          22.173    
OperationGetFirstNeighbor                               0.049            0.019         0.012           0.105    
OperationGetRandomNeighbor                              0.106            0.107         0.009           1.556    
OperationGetAllNeighbors                                0.146            0.164         0.009           1.475    
OperationGetKFirstNeighbors                             0.083            0.061         0.009           2.044    
OperationGetKRandomNeighbors                            0.175            0.239         0.010           3.874    
OperationGetKHopNeighbors                               6.615           20.053         0.009         143.965    
OperationGetShortestPath                               14.476           28.710         0.011         141.523    
OperationGlobalClusteringCoefficient                 4464.838            0.000      4464.838        4464.838    
OperationNetworkAverageClusteringCoefficient         1216.874            0.000      1216.874        1216.874    
