operation;bdb-mean;bdb-stdev;bdb-min;bdb-max;
OperationOpenGraph;1687773.5;113000.69179817168;1552626.0;2039384.0;
OperationGenerateGraph;6.82798251E8;0.0;6.82798251E8;6.82798251E8;
OperationShutdownGraph;1.5701961961538462E7;3.3000234387582935E7;931445.0;1.78886517E8;
OperationDoGC;3.453423656769231E9;6392839.828919077;3.444319879E9;3.471426239E9;
OperationGetManyVertices;1.3340078E7;0.0;1.3340078E7;1.3340078E7;
OperationGetManyVertexProperties;1.666724E7;0.0;1.666724E7;1.666724E7;
OperationGetManyEdges;2.2855309E7;0.0;2.2855309E7;2.2855309E7;
OperationGetManyEdgeProperties;1.8381515E7;0.0;1.8381515E7;1.8381515E7;
OperationGetFirstNeighbor;50039.309;14496.93475150933;11900.0;120252.0;
OperationGetRandomNeighbor;108824.232;102153.27582509618;8408.0;1518447.0;
OperationGetAllNeighbors;160403.156;218879.0790821262;9074.0;3935787.0;
OperationGetKFirstNeighbors;97732.6912;65937.37044239059;8910.0;1041789.0;
OperationGetKRandomNeighbors;195745.0902;240323.41472109203;9068.0;2833461.0;
OperationGetKHopNeighbors;1.23211093462E7;2.7911633284154017E7;9188.0;1.43890952E8;
OperationGetShortestPath;4.3546533066E7;5.130515692331742E7;11211.0;1.49278292E8;
OperationGlobalClusteringCoefficient;5.905774317E9;0.0;5.905774317E9;5.905774317E9;
OperationNetworkAverageClusteringCoefficient;2.08225778E9;0.0;2.08225778E9;2.08225778E9;
