operation                                       bdb-mean (ms)   bdb-stdev (ms)  bdb-min (ms)    bdb-max (ms)    
OperationOpenGraph                                      1.599            0.093         1.392           1.866    
OperationGenerateGraph                                612.234            0.000       612.234         612.234    
OperationShutdownGraph                                 29.298           68.440         1.757         275.514    
OperationDoGC                                        3456.265            7.389      3440.326        3467.977    
OperationGetManyVertices                               13.353            0.000        13.353          13.353    
OperationGetManyVertexProperties                       16.977            0.000        16.977          16.977    
OperationGetManyEdges                                  16.524            0.000        16.524          16.524    
OperationGetManyEdgeProperties                         19.478            0.000        19.478          19.478    
OperationGetFirstNeighbor                               0.051            0.017         0.012           0.116    
OperationGetRandomNeighbor                              0.121            0.114         0.010           1.323    
OperationGetAllNeighbors                                0.205            0.294         0.010           4.235    
OperationGetKFirstNeighbors                             0.153            2.188         0.013          69.311    
OperationGetKRandomNeighbors                            0.168            0.192         0.011           2.386    
OperationGetKHopNeighbors                               0.949            2.082         0.012          45.777    
OperationGetShortestPath                               23.811           38.202         0.005         156.288    
OperationGlobalClusteringCoefficient                 5200.755            0.000      5200.755        5200.755    
OperationNetworkAverageClusteringCoefficient         1544.679            0.000      1544.679        1544.679    
