operation                                       bdb-mean (ms)   bdb-stdev (ms)  bdb-min (ms)    bdb-max (ms)    
OperationOpenGraph                                      1.589            0.205         1.005           1.995    
OperationGenerateGraph                                647.445            0.000       647.445         647.445    
OperationShutdownGraph                                 27.370           45.192         7.615         184.313    
OperationDoGC                                        3455.498            7.480      3444.226        3470.258    
OperationGetManyVertices                               13.113            0.000        13.113          13.113    
OperationGetManyVertexProperties                       16.975            0.000        16.975          16.975    
OperationGetManyEdges                                  16.985            0.000        16.985          16.985    
OperationGetManyEdgeProperties                         18.981            0.000        18.981          18.981    
OperationGetFirstNeighbor                               0.059            0.020         0.012           0.095    
OperationGetRandomNeighbor                              0.118            0.090         0.010           1.329    
OperationGetAllNeighbors                                0.148            0.141         0.010           1.440    
OperationGetKFirstNeighbors                             0.082            0.034         0.013           0.142    
OperationGetKRandomNeighbors                            0.195            0.225         0.012           2.414    
OperationGetKHopNeighbors                               1.061            2.074         0.012          44.793    
OperationGetShortestPath                               34.048           46.119         0.013         150.898    
OperationGlobalClusteringCoefficient                 5542.945            0.000      5542.945        5542.945    
OperationNetworkAverageClusteringCoefficient         1854.053            0.000      1854.053        1854.053    
