operation;bdb-mean;bdb-stdev;bdb-min;bdb-max;
OperationOpenGraph;1604230.7857142857;291739.6855200047;1007669.0;2067427.0;
OperationGenerateGraph;5.39991309E8;0.0;5.39991309E8;5.39991309E8;
OperationShutdownGraph;2.389425057142857E7;4.699404051397682E7;3334596.0;1.9213054E8;
OperationDoGC;3.464447120571429E9;6036558.069588836;3.45044955E9;3.473487837E9;
OperationGetManyVertices;1.3452342E7;0.0;1.3452342E7;1.3452342E7;
OperationGetManyVertexProperties;1.7279866E7;0.0;1.7279866E7;1.7279866E7;
OperationGetManyEdges;1.6824066E7;0.0;1.6824066E7;1.6824066E7;
OperationGetManyEdgeProperties;1.983751E7;0.0;1.983751E7;1.983751E7;
OperationGetFirstNeighbor;53582.769;19498.206832107397;14774.0;113781.0;
OperationGetRandomNeighbor;125430.21;124242.6463968629;10073.0;1648122.0;
OperationGetAllNeighbors;183214.795;254620.8666801112;9607.0;4040781.0;
OperationGetKFirstNeighbors;92551.558;39986.73616101518;13115.0;213592.0;
OperationGetKRandomNeighbors;202671.491;229779.8761406748;11209.0;2790632.0;
OperationGetKHopNeighbors;890541.946;1711527.2814304566;11325.0;2.5029115E7;
OperationGetShortestPath;1.348975308E7;2.6885312267586697E7;11990.0;1.48767886E8;
OperationGlobalClusteringCoefficient;4.513352831E9;0.0;4.513352831E9;4.513352831E9;
OperationNetworkAverageClusteringCoefficient;1.241092453E9;0.0;1.241092453E9;1.241092453E9;
