operation                                       bdb-mean (ms)   bdb-stdev (ms)  bdb-min (ms)    bdb-max (ms)    
OperationOpenGraph                                      1.588            0.257         1.031           2.034    
OperationGenerateGraph                                642.190            0.000       642.190         642.190    
OperationShutdownGraph                                 29.751           49.246         6.262         182.802    
OperationDoGC                                        3460.759            7.098      3445.687        3470.379    
OperationGetManyVertices                               12.843            0.000        12.843          12.843    
OperationGetManyVertexProperties                       16.676            0.000        16.676          16.676    
OperationGetManyEdges                                  15.860            0.000        15.860          15.860    
OperationGetManyEdgeProperties                         18.522            0.000        18.522          18.522    
OperationGetFirstNeighbor                               0.051            0.017         0.014           0.125    
OperationGetRandomNeighbor                              0.121            0.111         0.010           1.813    
OperationGetAllNeighbors                                0.170            0.194         0.010           2.633    
OperationGetKFirstNeighbors                             0.083            0.033         0.013           0.155    
OperationGetKRandomNeighbors                            0.192            0.250         0.012           2.404    
OperationGetKHopNeighbors                               1.037            1.793         0.012          26.187    
OperationGetShortestPath                               31.548           44.936         0.012         153.058    
OperationGlobalClusteringCoefficient                 5316.172            0.000      5316.172        5316.172    
OperationNetworkAverageClusteringCoefficient         1733.600            0.000      1733.600        1733.600    
