operation                                       bdb-mean (ms)   bdb-stdev (ms)  bdb-min (ms)    bdb-max (ms)    
OperationOpenGraph                                      1.697            0.137         1.587           2.012    
OperationGenerateGraph                                619.184            0.000       619.184         619.184    
OperationShutdownGraph                                 30.913           50.788         5.293         203.329    
OperationDoGC                                        3451.381            5.657      3441.034        3463.221    
OperationGetManyVertices                               13.825            0.000        13.825          13.825    
OperationGetManyVertexProperties                       17.504            0.000        17.504          17.504    
OperationGetManyEdges                                  17.156            0.000        17.156          17.156    
OperationGetManyEdgeProperties                         18.477            0.000        18.477          18.477    
OperationGetFirstNeighbor                               0.057            0.020         0.013           0.115    
OperationGetRandomNeighbor                              0.114            0.102         0.010           1.357    
OperationGetAllNeighbors                                0.160            0.189         0.010           2.581    
OperationGetKFirstNeighbors                             0.087            0.034         0.014           0.162    
OperationGetKRandomNeighbors                            0.192            0.215         0.011           2.347    
OperationGetKHopNeighbors                               0.998            2.361         0.012          44.557    
OperationGetShortestPath                               27.413           41.580         0.012         152.255    
OperationGlobalClusteringCoefficient                 5071.445            0.000      5071.445        5071.445    
OperationNetworkAverageClusteringCoefficient         1625.760            0.000      1625.760        1625.760    
