operation;bdb-mean;bdb-stdev;bdb-min;bdb-max;
OperationOpenGraph;1656973.642857143;130772.46518645994;1537298.0;2050697.0;
OperationGenerateGraph;4.91467721E8;0.0;4.91467721E8;4.91467721E8;
OperationShutdownGraph;2.060525964285714E7;4.323659551698565E7;4776653.0;1.76121178E8;
OperationDoGC;3.454768100571429E9;4840488.981728967;3.443702156E9;3.459743131E9;
OperationGetManyVertices;1.3150413E7;0.0;1.3150413E7;1.3150413E7;
OperationGetManyVertexProperties;1.5964196E7;0.0;1.5964196E7;1.5964196E7;
OperationGetManyEdges;1.7075741E7;0.0;1.7075741E7;1.7075741E7;
OperationGetManyEdgeProperties;1.9983226E7;0.0;1.9983226E7;1.9983226E7;
OperationGetFirstNeighbor;52561.96;24154.66027979695;12062.0;124319.0;
OperationGetRandomNeighbor;113853.365;130678.31473364576;10048.0;1336484.0;
OperationGetAllNeighbors;174976.655;282119.02962693956;9859.0;3995003.0;
OperationGetKFirstNeighbors;69613.931;30571.147258129513;13117.0;145643.0;
OperationGetKRandomNeighbors;147099.219;175316.4563213991;11700.0;2145396.0;
OperationGetKHopNeighbors;855123.628;2817092.38682719;11844.0;4.4346429E7;
OperationGetShortestPath;9800149.982;2.173047401363817E7;12440.0;1.38712292E8;
OperationGlobalClusteringCoefficient;3.969232683E9;0.0;3.969232683E9;3.969232683E9;
OperationNetworkAverageClusteringCoefficient;8.67782497E8;0.0;8.67782497E8;8.67782497E8;
