operation;bdb-mean;bdb-stdev;bdb-min;bdb-max;
OperationOpenGraph;1438520.2307692308;269164.3785556596;1023655.0;1708026.0;
OperationGenerateGraph;5.2756276E8;0.0;5.2756276E8;5.2756276E8;
OperationShutdownGraph;1.4319168192307692E7;3.1479336853918843E7;973507.0;1.7116039E8;
OperationDoGC;3.457769214576923E9;6938963.406731041;3.443431208E9;3.474646515E9;
OperationGetManyVertices;1.3133836E7;0.0;1.3133836E7;1.3133836E7;
OperationGetManyVertexProperties;2.0686292E7;0.0;2.0686292E7;2.0686292E7;
OperationGetManyEdges;1.7220932E7;0.0;1.7220932E7;1.7220932E7;
OperationGetManyEdgeProperties;2.2172918E7;0.0;2.2172918E7;2.2172918E7;
OperationGetFirstNeighbor;48996.284;18733.639428988285;11621.0;104607.0;
OperationGetRandomNeighbor;105575.242;106709.91367890543;9220.0;1555822.0;
OperationGetAllNeighbors;145592.878;163899.1910894716;9287.0;1475063.0;
OperationGetKFirstNeighbors;83129.2404;61299.23239608645;8974.0;2043738.0;
OperationGetKRandomNeighbors;175459.8064;239176.6566056073;9586.0;3874199.0;
OperationGetKHopNeighbors;6615177.7934;2.005301243588192E7;9477.0;1.43964574E8;
OperationGetShortestPath;1.4476440198E7;2.8709961488739252E7;11379.0;1.41523483E8;
OperationGlobalClusteringCoefficient;4.464837886E9;0.0;4.464837886E9;4.464837886E9;
OperationNetworkAverageClusteringCoefficient;1.216873978E9;0.0;1.216873978E9;1.216873978E9;
