operation;bdb-mean;bdb-stdev;bdb-min;bdb-max;
OperationOpenGraph;1589326.4285714286;205201.11029103491;1005195.0;1994894.0;
OperationGenerateGraph;6.47445247E8;0.0;6.47445247E8;6.47445247E8;
OperationShutdownGraph;2.7370295785714287E7;4.519183843874793E7;7615091.0;1.84313464E8;
OperationDoGC;3.455498142285714E9;7479611.860936507;3.444226101E9;3.470257589E9;
OperationGetManyVertices;1.3112898E7;0.0;1.3112898E7;1.3112898E7;
OperationGetManyVertexProperties;1.6975143E7;0.0;1.6975143E7;1.6975143E7;
OperationGetManyEdges;1.698457E7;0.0;1.698457E7;1.698457E7;
OperationGetManyEdgeProperties;1.8980768E7;0.0;1.8980768E7;1.8980768E7;
OperationGetFirstNeighbor;59400.264;20062.241086436585;12037.0;94664.0;
OperationGetRandomNeighbor;117831.547;90401.62384725071;10077.0;1328729.0;
OperationGetAllNeighbors;148331.803;140889.1407752215;10077.0;1439803.0;
OperationGetKFirstNeighbors;82067.793;33856.86993876058;13111.0;142431.0;
OperationGetKRandomNeighbors;194808.273;225469.9127328133;11579.0;2413993.0;
OperationGetKHopNeighbors;1061402.817;2073734.9325785264;12034.0;4.479303E7;
OperationGetShortestPath;3.4048303514E7;4.611879250855195E7;12881.0;1.50897852E8;
OperationGlobalClusteringCoefficient;5.542945387E9;0.0;5.542945387E9;5.542945387E9;
OperationNetworkAverageClusteringCoefficient;1.854052779E9;0.0;1.854052779E9;1.854052779E9;
