operation;bdb-mean;bdb-stdev;bdb-min;bdb-max;
OperationOpenGraph;1598947.5;92678.9440979295;1391541.0;1865630.0;
OperationGenerateGraph;6.1223419E8;0.0;6.1223419E8;6.1223419E8;
OperationShutdownGraph;2.929803507142857E7;6.843977051470411E7;1757243.0;2.75513774E8;
OperationDoGC;3.456264891285714E9;7388724.863734332;3.440325998E9;3.46797716E9;
OperationGetManyVertices;1.3352912E7;0.0;1.3352912E7;1.3352912E7;
OperationGetManyVertexProperties;1.6977008E7;0.0;1.6977008E7;1.6977008E7;
OperationGetManyEdges;1.6523984E7;0.0;1.6523984E7;1.6523984E7;
OperationGetManyEdgeProperties;1.9477577E7;0.0;1.9477577E7;1.9477577E7;
OperationGetFirstNeighbor;50782.003;17019.64830873397;12301.0;115771.0;
OperationGetRandomNeighbor;120723.124;114332.48974471175;9945.0;1323100.0;
OperationGetAllNeighbors;205474.671;294084.7175922014;9795.0;4235087.0;
OperationGetKFirstNeighbors;153089.67;2188308.5975823803;13445.0;6.9310595E7;
OperationGetKRandomNeighbors;168183.976;192030.02647694823;11429.0;2386403.0;
OperationGetKHopNeighbors;948885.644;2082107.7931294187;11757.0;4.5777486E7;
OperationGetShortestPath;2.3810887722E7;3.820166151383564E7;4599.0;1.56288105E8;
OperationGlobalClusteringCoefficient;5.200755189E9;0.0;5.200755189E9;5.200755189E9;
OperationNetworkAverageClusteringCoefficient;1.544679456E9;0.0;1.544679456E9;1.544679456E9;
