operation                                       bdb-mean (ms)   bdb-stdev (ms)  bdb-min (ms)    bdb-max (ms)    
OperationOpenGraph                                      1.580            0.192         1.063           1.907    
OperationGenerateGraph                                648.016            0.000       648.016         648.016    
OperationShutdownGraph                                 15.254           32.144         0.903         174.585    
OperationDoGC                                        3467.146            5.588      3457.532        3481.334    
OperationGetManyVertices                               13.336            0.000        13.336          13.336    
OperationGetManyVertexProperties                       16.785            0.000        16.785          16.785    
OperationGetManyEdges                                  16.347            0.000        16.347          16.347    
OperationGetManyEdgeProperties                         18.698            0.000        18.698          18.698    
OperationGetFirstNeighbor                               0.045            0.014         0.012           0.112    
OperationGetRandomNeighbor                              0.115            0.240         0.008           7.015    
OperationGetAllNeighbors                                0.164            0.212         0.009           3.930    
OperationGetKFirstNeighbors                             0.095            0.059         0.009           0.955    
OperationGetKRandomNeighbors                            0.180            0.218         0.009           3.190    
OperationGetKHopNeighbors                              10.283           24.875         0.009         146.120    
OperationGetShortestPath                               30.887           44.015         0.011         152.331    
OperationGlobalClusteringCoefficient                 5363.918            0.000      5363.918        5363.918    
OperationNetworkAverageClusteringCoefficient         1713.224            0.000      1713.224        1713.224    
