operation;bdb-mean;bdb-stdev;bdb-min;bdb-max;
OperationOpenGraph;1559741.4615384615;268810.8455793677;1003940.0;1950370.0;
OperationGenerateGraph;4.97936361E8;0.0;4.97936361E8;4.97936361E8;
OperationShutdownGraph;1.4292390615384616E7;3.1420606497942172E7;816220.0;1.70294943E8;
OperationDoGC;3.4620173905E9;7918564.798464449;3.450049177E9;3.476276429E9;
OperationGetManyVertices;1.2839137E7;0.0;1.2839137E7;1.2839137E7;
OperationGetManyVertexProperties;1.6520075E7;0.0;1.6520075E7;1.6520075E7;
OperationGetManyEdges;1.6985374E7;0.0;1.6985374E7;1.6985374E7;
OperationGetManyEdgeProperties;1.922875E7;0.0;1.922875E7;1.922875E7;
OperationGetFirstNeighbor;40762.296;16876.990693793265;10906.0;108111.0;
OperationGetRandomNeighbor;138569.362;205389.68961831796;9231.0;2970370.0;
OperationGetAllNeighbors;159553.324;222129.93551566396;9188.0;3087949.0;
OperationGetKFirstNeighbors;93138.5666;780563.0553572308;8596.0;5.5108294E7;
OperationGetKRandomNeighbors;152169.9518;196068.8157865539;9484.0;3057187.0;
OperationGetKHopNeighbors;4623855.4276;1.6412670224731777E7;9116.0;1.41036958E8;
OperationGetShortestPath;1.0933970772E7;2.560906980475182E7;10307.0;1.31117919E8;
OperationGlobalClusteringCoefficient;4.019785224E9;0.0;4.019785224E9;4.019785224E9;
OperationNetworkAverageClusteringCoefficient;9.22049443E8;0.0;9.22049443E8;9.22049443E8;
