operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                     57.364            5.164        48.403          65.128    
OperationGetManyVertices                               50.235          137.433         0.820         534.159    
OperationShutdownGraph                                753.188          114.141       446.978         944.199    
OperationDoGC                                        6074.784         1189.188      5619.522       10005.249    
OperationGetManyVertexProperties                       12.612           10.534         3.506          38.620    
OperationGetManyEdges                                 217.776          822.840         2.161        3404.603    
OperationGetManyEdgeProperties                         24.317           26.036         5.140          85.742    
OperationGetFirstNeighbor                               0.326            5.460         0.002         172.146    
OperationGetRandomNeighbor                              0.140            1.433         0.003          59.763    
OperationGetAllNeighbors                                0.409            9.049         0.002         310.030    
OperationGetKFirstNeighbors                             0.185            1.644         0.002          46.908    
OperationGetKRandomNeighbors                            0.190            1.812         0.003          56.162    
OperationGetKHopNeighbors                               0.784           11.410         0.003         359.365    
OperationGlobalClusteringCoefficient              3843173.597            5.077   3843164.694     3843180.276    
OperationNetworkAverageClusteringCoefficient      1179202.714           16.124   1179177.677     1179229.513    
