operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                     55.182            4.246        49.584          65.690    
OperationGetManyVertices                               21.490           49.088         0.839         150.808    
OperationShutdownGraph                                757.191          124.574       382.475         906.363    
OperationDoGC                                        5927.672          612.686      5583.939        7739.834    
OperationGetManyVertexProperties                       16.882           12.874         4.566          46.669    
OperationGetManyEdges                                  13.883           24.755         1.897          78.760    
OperationGetManyEdgeProperties                        384.782          973.303        11.492        2959.850    
OperationGetFirstNeighbor                               0.099            0.566         0.006          30.294    
OperationGetRandomNeighbor                              0.103            0.821         0.004          35.079    
OperationGetAllNeighbors                                0.101            0.642         0.003          18.469    
OperationGetKFirstNeighbors                             0.101            0.589         0.002          32.197    
OperationGetKRandomNeighbors                            0.133            1.023         0.003          59.877    
OperationGetKHopNeighbors                               0.544            4.079         0.003          99.849    
OperationGlobalClusteringCoefficient              3801922.657            4.688   3801915.451     3801928.358    
OperationNetworkAverageClusteringCoefficient      1256938.347            3.386   1256933.343     1256944.730    
