operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;5.505406175E7;8099463.504905877;4.6827691E7;7.3808254E7;
OperationGetManyVertices;1214946.75;432596.62306551525;893029.0;1945894.0;
OperationShutdownGraph;6.699390315833334E8;1.822387992980127E8;3.89173299E8;8.98527026E8;
OperationDoGC;5.747504632333333E9;2.0557421577854246E8;5.592059751E9;6.327504066E9;
OperationGetManyVertexProperties;1.135014475E7;2030776.8241844517;9837014.0;1.484536E7;
OperationGetManyEdges;3535600.0;963195.4719853079;2551101.0;4924785.0;
OperationGetManyEdgeProperties;3.122594525E7;6041867.118859342;2.1919352E7;3.8813246E7;
OperationGetFirstNeighbor;56733.3565;129243.34833620605;6071.0;7529562.0;
OperationGetRandomNeighbor;55908.9595;161822.53042663864;2042.0;8993389.0;
OperationGetAllNeighbors;49411.46075;172921.1797826123;2636.0;8943055.0;
OperationGetKFirstNeighbors;75695.04275;345838.97250938945;2625.0;1.7740601E7;
OperationGetKRandomNeighbors;91790.9115;424377.9276260627;2540.0;1.1973862E7;
OperationGetKHopNeighbors;469246.0805;4351150.755200747;2843.0;1.06912061E8;
OperationGlobalClusteringCoefficient;3.970098364098E12;2234198.8084001164;3.970094848209E12;3.970100962051E12;
OperationNetworkAverageClusteringCoefficient;1.21645463873175E12;3963086.2356878747;1.216452062328E12;1.216461491305E12;
