operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;5.4139602416666664E7;8203843.00668293;4.3550446E7;7.1780338E7;
OperationGetManyVertices;1025256.0;0.0;1025256.0;1025256.0;
OperationShutdownGraph;5.67179941E8;2.063129322279767E8;3.34368987E8;8.69290186E8;
OperationDoGC;5.760414309166667E9;2.952425770181473E8;5.524803308E9;6.463087427E9;
OperationGetManyVertexProperties;2.4577378E7;0.0;2.4577378E7;2.4577378E7;
OperationGetManyEdges;2673661.0;0.0;2673661.0;2673661.0;
OperationGetManyEdgeProperties;2.9402006E7;0.0;2.9402006E7;2.9402006E7;
OperationGetFirstNeighbor;36724.066;16490.01100156224;4842.0;185165.0;
OperationGetRandomNeighbor;40869.178;19214.050133126962;20457.0;207715.0;
OperationGetAllNeighbors;42928.53;27576.122493764407;18550.0;331358.0;
OperationGetKFirstNeighbors;46267.994;24280.298063037928;20930.0;338374.0;
OperationGetKRandomNeighbors;51725.724;32803.7302084355;3578.0;485472.0;
OperationGetKHopNeighbors;235638.529;2716668.808533024;14462.0;8.4913572E7;
OperationGlobalClusteringCoefficient;3.656701689111E12;0.0;3.656701689111E12;3.656701689111E12;
OperationNetworkAverageClusteringCoefficient;1.092737535667E12;0.0;1.092737535667E12;1.092737535667E12;
