operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                     54.140            8.204        43.550          71.780    
OperationGetManyVertices                                1.025            0.000         1.025           1.025    
OperationShutdownGraph                                567.180          206.313       334.369         869.290    
OperationDoGC                                        5760.414          295.243      5524.803        6463.087    
OperationGetManyVertexProperties                       24.577            0.000        24.577          24.577    
OperationGetManyEdges                                   2.674            0.000         2.674           2.674    
OperationGetManyEdgeProperties                         29.402            0.000        29.402          29.402    
OperationGetFirstNeighbor                               0.037            0.016         0.005           0.185    
OperationGetRandomNeighbor                              0.041            0.019         0.020           0.208    
OperationGetAllNeighbors                                0.043            0.028         0.019           0.331    
OperationGetKFirstNeighbors                             0.046            0.024         0.021           0.338    
OperationGetKRandomNeighbors                            0.052            0.033         0.004           0.485    
OperationGetKHopNeighbors                               0.236            2.717         0.014          84.914    
OperationGlobalClusteringCoefficient              3656701.689            0.000   3656701.689     3656701.689    
OperationNetworkAverageClusteringCoefficient      1092737.536            0.000   1092737.536     1092737.536    
