operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                     55.054            8.099        46.828          73.808    
OperationGetManyVertices                                1.215            0.433         0.893           1.946    
OperationShutdownGraph                                669.939          182.239       389.173         898.527    
OperationDoGC                                        5747.505          205.574      5592.060        6327.504    
OperationGetManyVertexProperties                       11.350            2.031         9.837          14.845    
OperationGetManyEdges                                   3.536            0.963         2.551           4.925    
OperationGetManyEdgeProperties                         31.226            6.042        21.919          38.813    
OperationGetFirstNeighbor                               0.057            0.129         0.006           7.530    
OperationGetRandomNeighbor                              0.056            0.162         0.002           8.993    
OperationGetAllNeighbors                                0.049            0.173         0.003           8.943    
OperationGetKFirstNeighbors                             0.076            0.346         0.003          17.741    
OperationGetKRandomNeighbors                            0.092            0.424         0.003          11.974    
OperationGetKHopNeighbors                               0.469            4.351         0.003         106.912    
OperationGlobalClusteringCoefficient              3970098.364            2.234   3970094.848     3970100.962    
OperationNetworkAverageClusteringCoefficient      1216454.639            3.963   1216452.062     1216461.491    
