operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;5.5181849083333336E7;4246230.579121371;4.9584074E7;6.5689853E7;
OperationGetManyVertices;2.1490337625E7;4.90882313834639E7;839447.0;1.50807768E8;
OperationShutdownGraph;7.571910413333334E8;1.2457440061092266E8;3.82475257E8;9.06363483E8;
OperationDoGC;5.927672265833333E9;6.126856781631032E8;5.583938816E9;7.739833772E9;
OperationGetManyVertexProperties;1.688177375E7;1.2874472766708784E7;4566009.0;4.6668558E7;
OperationGetManyEdges;1.38827195E7;2.4754783780035E7;1897190.0;7.8760237E7;
OperationGetManyEdgeProperties;3.84782381625E8;9.733031778299747E8;1.1491966E7;2.95984988E9;
OperationGetFirstNeighbor;98726.660625;565534.3255071702;6067.0;3.0294353E7;
OperationGetRandomNeighbor;103177.102;821193.0598210244;3705.0;3.5078714E7;
OperationGetAllNeighbors;101055.937875;641714.5295230367;2805.0;1.8469318E7;
OperationGetKFirstNeighbors;101195.678625;589315.4881915462;2493.0;3.219664E7;
OperationGetKRandomNeighbors;132667.987125;1023029.8294740485;2960.0;5.987729E7;
OperationGetKHopNeighbors;543621.788;4078728.113430781;3143.0;9.9849451E7;
OperationGlobalClusteringCoefficient;3.801922657169375E12;4688053.123593336;3.801915451465E12;3.801928357967E12;
OperationNetworkAverageClusteringCoefficient;1.256938346946875E12;3385791.287511881;1.256933343202E12;1.256944729619E12;
