operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;5.4816627583333336E7;7603174.210452428;4.6246726E7;7.3780907E7;
OperationGetManyVertices;2.4781578E7;1108995.0;2.3672583E7;2.5890573E7;
OperationShutdownGraph;5.793725783333334E8;1.8925282362755114E8;3.56117769E8;8.12947134E8;
OperationDoGC;5.993927912916667E9;9.48605433450685E8;5.572654787E9;9.088462393E9;
OperationGetManyVertexProperties;2.4306177E7;3315966.0;2.0990211E7;2.7622143E7;
OperationGetManyEdges;3247861.5;599482.5;2648379.0;3847344.0;
OperationGetManyEdgeProperties;2.955442E7;1908010.0;2.764641E7;3.146243E7;
OperationGetFirstNeighbor;52733.5035;91480.1659620925;15147.0;3868136.0;
OperationGetRandomNeighbor;55529.029;131142.1648747121;17629.0;5515634.0;
OperationGetAllNeighbors;43280.9995;37093.9847061151;3149.0;834770.0;
OperationGetKFirstNeighbors;60116.258;88261.77042259832;5114.0;3305270.0;
OperationGetKRandomNeighbors;58429.898;50890.67321137147;5842.0;786271.0;
OperationGetKHopNeighbors;337748.7725;2474089.572045134;3200.0;6.060171E7;
OperationGlobalClusteringCoefficient;3.89935171156E12;180568.0;3.899351530992E12;3.899351892128E12;
OperationNetworkAverageClusteringCoefficient;1.191197507753E12;260830.0;1.191197246923E12;1.191197768583E12;
