operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;5.2022567916666664E7;9930334.935439778;3.9291947E7;7.2538211E7;
OperationGetManyVertices;1.77598384375E7;7.435495659001532E7;824861.0;4.2394517E8;
OperationShutdownGraph;8.11681116E8;8.378925852269703E7;6.33425879E8;9.96437524E8;
OperationDoGC;6.32284086925E9;1.7964282561273997E9;5.680973913E9;1.227282682E10;
OperationGetManyVertexProperties;2.534863121875E7;3.511763778669795E7;2596001.0;1.8451528E8;
OperationGetManyEdges;7.140788765625E7;3.658547067381325E8;1573933.0;2.108172429E9;
OperationGetManyEdgeProperties;2.7403068625E7;2.4892359567449555E7;5157487.0;9.9890544E7;
OperationGetFirstNeighbor;226346.57390625;3018188.376085926;2248.0;1.28395227E8;
OperationGetRandomNeighbor;215127.0205;2572233.728547027;2183.0;1.11173657E8;
OperationGetAllNeighbors;334941.5950625;6129957.333778307;2165.0;3.17625912E8;
OperationGetKFirstNeighbors;215169.22459375;2309703.83626019;1724.0;2.23788537E8;
OperationGetKRandomNeighbors;301080.9716875;2898754.126701668;1985.0;1.1221238E8;
OperationGetKHopNeighbors;840007.1739375;1.1823821602317462E7;2163.0;1.280327287E9;
OperationGlobalClusteringCoefficient;4.1186898655247188E12;4.033643107230765E7;4.118633497464E12;4.118751183188E12;
OperationNetworkAverageClusteringCoefficient;1.2465890296558438E12;3.0950378198487327E7;1.246537180513E12;1.246630188458E12;
