operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                     54.817            7.603        46.247          73.781    
OperationGetManyVertices                               24.782            1.109        23.673          25.891    
OperationShutdownGraph                                579.373          189.253       356.118         812.947    
OperationDoGC                                        5993.928          948.605      5572.655        9088.462    
OperationGetManyVertexProperties                       24.306            3.316        20.990          27.622    
OperationGetManyEdges                                   3.248            0.599         2.648           3.847    
OperationGetManyEdgeProperties                         29.554            1.908        27.646          31.462    
OperationGetFirstNeighbor                               0.053            0.091         0.015           3.868    
OperationGetRandomNeighbor                              0.056            0.131         0.018           5.516    
OperationGetAllNeighbors                                0.043            0.037         0.003           0.835    
OperationGetKFirstNeighbors                             0.060            0.088         0.005           3.305    
OperationGetKRandomNeighbors                            0.058            0.051         0.006           0.786    
OperationGetKHopNeighbors                               0.338            2.474         0.003          60.602    
OperationGlobalClusteringCoefficient              3899351.712            0.181   3899351.531     3899351.892    
OperationNetworkAverageClusteringCoefficient      1191197.508            0.261   1191197.247     1191197.769    
